mixamo_sitting_talking_1_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|sitting,possible seated discussion but not first cut,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Sitting Talking (1).fbx,inspected,,1350-frame clip; sitting pose requires chair/camera setup,hold for seated lesson scene,2026-05-03
mixamo_sitting_talking_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|sitting,possible seated discussion but not first cut,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Sitting Talking.fbx,inspected,,1323-frame clip; sitting pose requires chair/camera setup,hold for seated lesson scene,2026-05-03
mixamo_talking_1_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|gesture|standing,primary instructor explanation candidate,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Talking (1).fbx,inspected,,179-frame standing talking clip; likely useful for IATF explanation,preview retarget on Bulma/Goku and score,2026-05-03
mixamo_talking_2_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|gesture|standing,primary instructor explanation candidate,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Talking (2).fbx,inspected,,145-frame standing talking clip; likely useful for IATF explanation,preview retarget on Bulma/Goku and score,2026-05-03
mixamo_talking_3_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|gesture|standing,primary instructor explanation candidate,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Talking (3).fbx,inspected,,114-frame standing talking clip; short and likely easy to blend,make first low-cost talking probe,2026-05-03
mixamo_talking_at_watercooler_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|casual|standing,not first choice for formal IATF instructor,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Talking At Watercooler.fbx,inspected,,1338-frame clip; casual/social posture may be unsuitable,trim only if gesture section is useful,2026-05-03
mixamo_talking_on_cell_phone_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|phone,not suitable for standard IATF explanation,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Talking On A Cell Phone.fbx,inspected,,1118-frame clip; phone-specific hand pose,low priority,2026-05-03
mixamo_talking_on_phone_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|phone,not suitable for standard IATF explanation,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Talking On Phone.fbx,inspected,,1166-frame clip; phone-specific hand pose,low priority,2026-05-03
mixamo_talking_phone_pacing_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|pacing|phone,not suitable for standard IATF explanation,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Talking Phone Pacing.fbx,inspected,,1268-frame clip; phone/pacing specific,low priority,2026-05-03
mixamo_talking_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|gesture|standing,primary instructor explanation candidate,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Talking.fbx,inspected,,151-frame standing talking clip; likely useful for presenter body motion,preview retarget on Bulma/Goku and score,2026-05-03
mixamo_angry_point_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,pointing|angry|standing,not first choice for calm IATF instruction,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Pointing/Angry Point.fbx,inspected,,74-frame clip; emotional tone may be too strong,preview only for warning/nonconformity emphasis,2026-05-03
mixamo_kneeling_pointing_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,pointing|kneeling,not suitable for standard IATF explanation,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Pointing/Kneeling Pointing.fbx,inspected,,118-frame clip; non-standing pose,exclude from first IATF cut,2026-05-03
mixamo_pointing_1_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,pointing|presenting|standing,primary slide/evidence pointing candidate,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Pointing/Pointing (1).fbx,inspected,,109-frame standing point; likely useful for slide emphasis,preview retarget on Bulma/Goku and score,2026-05-03
mixamo_pointing_2_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,pointing|presenting|standing,primary slide/evidence pointing candidate,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Pointing/Pointing (2).fbx,inspected,,84-frame standing point; short and easy to blend,make first pointing probe,2026-05-03
mixamo_pointing_forward_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,pointing|forward|standing,possible direct-to-camera emphasis,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Pointing/Pointing Forward.fbx,inspected,,142-frame forward point; may point at viewer not slide,preview with camera angle before using,2026-05-03
mixamo_pointing_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,pointing|presenting|standing,primary slide/evidence pointing candidate,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Pointing/Pointing.fbx,inspected,,104-frame standing point; likely useful for slide emphasis,preview retarget on Bulma/Goku and score,2026-05-03
mixamo_sitting_and_pointing_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,pointing|sitting,not first choice for standard IATF scene,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Pointing/Sitting And Pointing.fbx,inspected,,91-frame clip; sitting pose needs chair/desk setup,hold for seated lesson scene,2026-05-03
mixamo_having_a_meeting_female_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,meeting|talking|listening|subtle_reaction,possible substitute for presenting/subtle reaction,"data/workspace/apps/motion_lab/assets/motions/raw/mixamo/meeting/Having A Meeting, Female (1).fbx",inspected,,1401-frame long meeting clip; likely needs 3-5 second trimmed segments,extract useful gesture/listening spans and preview,2026-05-03
mixamo_having_a_meeting_male_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,meeting|talking|listening|subtle_reaction,possible substitute for presenting/subtle reaction,"data/workspace/apps/motion_lab/assets/motions/raw/mixamo/meeting/Having A Meeting, Male.fbx",inspected,,1401-frame long meeting clip; likely needs 3-5 second trimmed segments,extract useful gesture/listening spans and preview,2026-05-03
